id,name,description,unit,category,materialCostPerUnit,laborCostPerUnit,narrativeTemplate
1,Base Cabinets,"Standard 24"" Deep - 1 Drawer over Door - assumes 1 Drawer per 2-1/2 Feet",LF,cabinets,109.53,37.00,base cabinets with ({drawers}) drawers/rollouts
2,"36"" Tall - Wall Cabinets","13"" Deep",LF,cabinets,90.73,37.00,"36"" tall wall cabinets"
3,"42"" Tall - Wall Cabinet","13"" Deep",LF,cabinets,102.86,37.00,"42"" tall wall cabinets"
4,"54"" Tall - Wall Cabinet","13"" Deep",LF,cabinets,127.14,37.00,"54"" tall wall cabinets"
5,Tall Oven Cabinet,Up to 9',LF,cabinets,298.12,37.00,tall double oven cabinetry
6,Tall Pantry,Up to 9',LF,cabinets,289.34,37.00,tall pantry cabinets
7,Fridge Enclosure,Up to 9',LF,cabinets,145.36,37.00,fridge enclosure
8,Oven Hood - Box Style,"Straight line and/or basic angles - Non-Swoop 24"" Deep 36"" Tall",LF,hoods,118.86,135.67,oven hood - box style
9,Oven Hood - Compound Curves,"Compund Curves - 24"" Deep 36"" Tall",,hoods,150.25,175.52,oven hood  - compound curves
10,Vanity,"Standard 21"" Deep - 1 Drawer over Door",LF,cabinets,108.44,37.00,base cabinets with ({drawers}) drawers
11,Tall Integrated Panel,"Up to 108"" x 26"" - match to door style - includes paint and install",EA,panels,457.12,123.33,integrated finished end panels on exposed ends
12,Base Cabinet Integrated Panel,"26"" x 24"" Deep - match to door style - includes paint and install",EA,panels,156.70,46.25,integrated panels
13,Wall Cabinet Integrated Panel,"54"" x 13"" Deep - match to door style - includes paint and install",EA,panels,137.19,46.25,integrated panels
14,Base Flat Finished End,Painted plywood made in house,EA,panels,31.00,18.50,flat finished end panels
15,Wall Flat Finished End,Painted plywood made in house,EA,panels,29.31,18.50,flat finished end panels
16,Tall Flat Finished End,Painted plywood made in house,EA,panels,58.40,27.75,flat finished end panels
17,Mud Bench,Plywood w/ hardwood nosing DOES NOT INCLUDE WOOD TOP,LF,specialty,54.89,154.17,mud bench
18,Wood Top,"3/4"" plywood faceframe stock",LF,specialty,10.62,30.83,wood top
19,"12"" Deep Painted Bookcase 36"" Tall",Painted interior and shelves,LF,specialty,36.82,123.33,"36"" tall bookcase"
20,"12"" Deep Painted Bookcase 96"" Tall",Painted interior and shelves,LF,specialty,77.71,138.75,"96"" tall bookcase"
21,Glass in Doors,"Plain glass, specialty glass may add cost",SF,upgrades,30.00,12.33,plain glass in doors
22,Extra Drawer/Pullout,Account for extra drawers and pullouts,EA,upgrades,61.46,18.50,additional drawers/pullouts
23,Trash Pull out/Spice Rack/Etc.,"Average Pricing, actual selections may affect price",EA,upgrades,538.87,18.50,trash pullout/organizers
24,Floating Shelves,"2"" Thick x 12"" Deep",LF,specialty,33.41,46.25,floating shelves
25,Crown,"Standard 4""",LF,trim,5.49,0.69,crown molding
26,Base Trim,"Standard 4""",LF,trim,5.49,0.69,base trim
27,Toe Kick,Finished to match cabinet,LF,trim,0.41,1.39,toe kick
28,"12"" Deep Painted Bookcase 72"" Tall",Painted interior and shelves,LF,specialty,60.83,138.75,"72"" tall bookcase"
